"time","r_11.y","r_22.y","y_11.y","y_22.y","IE_2.y","IE_1.y","IAE_1.y","IAE_2.y"
0,1,0,0,0,0,0,0,0
1,1,0,0.345424,0.709965,-0.531594,0.715097,0.715097,0.531594
2,1,0,0.785414,0.37724,-1.12109,1.18063,1.18063,1.12109
3,1,0,1.31057,-0.203052,-1.20323,1.11653,1.32392,1.27975
4,1,0,1.47178,-0.494107,-0.815973,0.685829,1.75463,1.66701
5,1,0,1.21618,-0.321631,-0.374657,0.316211,2.12425,2.10832
6,1,0,0.841366,0.0737087,-0.248465,0.293472,2.22083,2.24863
7,1,0,0.676842,0.323084,-0.470844,0.56029,2.48765,2.471
8,1,0,0.809966,0.25636,-0.785617,0.837361,2.76472,2.78578
9,1,0,1.06796,-0.00344343,-0.917672,0.89803,2.84425,2.91788
10,1,0,1.21461,-0.203766,-0.799921,0.74038,3.0019,3.03563
11,1,0,1.15544,-0.195335,-0.582248,0.53974,3.20254,3.2533
12,1,0,0.983277,-0.0305307,-0.462762,0.468,3.27589,3.37279
13,1,0,0.862229,0.12304,-0.516816,0.555139,3.36303,3.43182
14,1,0,0.879183,0.143443,-0.662761,0.695909,3.5038,3.57777
15,1,0,0.990294,0.0432113,-0.762335,0.76459,3.57248,3.67734
16,1,0,1.08502,-0.0701476,-0.745008,0.721284,3.61657,3.70932
17,1,0,1.09021,-0.101954,-0.650322,0.625503,3.71235,3.80401
18,1,0,1.0212,-0.0442416,-0.571849,0.566277,3.77158,3.88248
19,1,0,0.950079,0.036711,-0.569612,0.583599,3.79433,3.90315
20,1,0,0.934908,0.0702646,-0.628786,0.646736,3.85746,3.96232
21,1,0,0.975769,0.0395852,-0.688043,0.694552,3.90528,4.02158
22,1,0,1.02734,-0.0164618,-0.699369,0.691661,3.91866,4.03805
23,1,0,1.04551,-0.0469454,-0.664049,0.651471,3.95885,4.07337
24,1,0,1.02286,-0.0327535,-0.62087,0.614671,3.99565,4.11655
25,1,0,0.986632,0.00487048,-0.60652,0.610329,4.00535,4.13153
26,1,0,0.969139,0.0303396,-0.62633,0.634879,4.0299,4.15134
27,1,0,0.980459,0.0256774,-0.656802,0.662131,4.05715,4.18181
28,1,0,1.00514,0.00123496,-0.670928,0.669424,4.06555,4.19594
29,1,0,1.02027,-0.0188741,-0.660833,0.655205,4.07977,4.20609
30,1,0,1.01568,-0.019308,-0.63998,0.635686,4.09929,4.22695
31,1,0,0.999395,-0.00400856,-0.627605,0.627832,4.10716,4.23932
32,1,0,0.987152,0.0111991,-0.631882,0.63546,4.11479,4.24449
33,1,0,0.987987,0.0140175,-0.645713,0.649013,4.12834,4.25832
34,1,0,0.99837,0.00486735,-0.655811,0.65622,4.13555,4.26842
35,1,0,1.00781,-0.00622847,-0.654811,0.65263,4.13937,4.27136
36,1,0,1.00886,-0.00985828,-0.645945,0.643505,4.1485,4.28023
37,1,0,1.00251,-0.00471126,-0.638111,0.637445,4.15456,4.28806
38,1,0,0.99551,0.00312853,-0.637428,0.638689,4.15659,4.29011
39,1,0,0.993675,0.00672362,-0.64289,0.644635,4.16254,4.29557
40,1,0,0.997364,0.00408839,-0.648731,0.649442,4.16734,4.30141
41,1,0,1.00238,-0.00128322,-0.650138,0.649464,4.16862,4.30314
42,1,0,1.00438,-0.00444333,-0.646939,0.645728,4.17236,4.30634
43,1,0,1.00239,-0.00331497,-0.64273,0.64208,4.17601,4.31055
44,1,0,0.998902,0.000252143,-0.64114,0.641455,4.177,4.31216
45,1,0,0.997064,0.00283665,-0.642886,0.6437,4.17925,4.3139
46,1,0,0.998005,0.00255963,-0.645826,0.646371,4.18192,4.31684
47,1,0,1.00036,0.000269872,-0.647317,0.64721,4.18281,4.31833
48,1,0,1.00191,-0.00173882,-0.646469,0.645939,4.18409,4.31921
49,1,0,1.00157,-0.00190082,-0.644478,0.644047,4.18598,4.3212
50,1,0,1.00004,-0.000487896,-0.643207,0.643202,4.18682,4.32247
51,1,0,0.998808,0.00101189,-0.643528,0.64386,4.18748,4.32293
52,1,0,0.998811,0.00136482,-0.644833,0.64516,4.18878,4.32424
53,1,0,0.999776,0.000535294,-0.645851,0.645909,4.18953,4.32526
54,1,0,1.00071,-0.000546784,-0.64582,0.645621,4.18986,4.32553
55,1,0,1.00087,-0.00094987,-0.644994,0.644755,4.19073,4.32636
56,1,0,1.00029,-0.000495646,-0.644215,0.644139,4.19135,4.32714
57,1,0,0.9996,0.000260911,-0.644104,0.644217,4.19153,4.32735
58,1,0,0.999388,0.000641053,-0.644606,0.644775,4.19209,4.32785
59,1,0,0.999718,0.000419019,-0.645179,0.645256,4.19257,4.32842
60,1,0,1.0002,-9.39491e-5,-0.645345,0.645287,4.1927,4.3286
61,1,0,1.00042,-0.000418888,-0.645057,0.644941,4.19304,4.32889
62,1,0,1.00025,-0.000333641,-0.644648,0.644581,4.1934,4.3293
63,1,0,0.999913,3.23726e-6,-0.644476,0.644501,4.19351,4.32947
64,1,0,0.999722,0.000263983,-0.644628,0.644705,4.19371,4.32962
65,1,0,0.999798,0.000254016,-0.64491,0.644966,4.19397,4.32991
66,1,0,1.00002,4.04833e-5,-0.645066,0.64506,4.19407,4.33006
