"time","IAE_1.y","IAE_2.y","IE_1.y","IE_2.y","r_11.y","r_22.y","y_11.y","y_22.y"
0,0,0,0,0,1,0,0,0
1,1.10897,9.06015e-11,1.10897,-2.84968e-17,1,0,-0.0624794,1.11022e-16
2,2.03312,3.20495e-10,2.03312,4.35803e-17,1,0,0.212751,-2.22045e-16
3,2.70586,4.23049e-10,2.70586,7.85845e-17,1,0,0.42878,0
4,3.19767,3.87048e-10,3.19767,3.31238e-17,1,0,0.578704,0
5,3.5627,2.19229e-10,3.5627,3.75847e-17,1,0,0.685543,0
6,3.83598,1.37308e-10,3.83598,1.6546e-17,1,0,0.763989,0
7,4.04134,-7.17947e-10,4.04134,2.61454e-17,1,0,0.822489,0
8,4.19586,-1.13638e-9,4.19586,1.14632e-17,1,0,0.86639,0
9,4.31218,-1.31373e-9,4.31218,4.87086e-18,1,0,0.899409,0
10,4.39975,-1.41e-9,4.39975,2.02976e-18,1,0,0.924264,0
11,4.46569,-1.47325e-9,4.46569,8.64865e-19,1,0,0.942976,0
12,4.51534,-1.48664e-9,4.51534,5.00378e-19,1,0,0.957064,0
13,4.55272,-1.35094e-9,4.55272,1.66144e-19,1,0,0.967672,0
14,4.58086,-2.03128e-9,4.58086,-1.62328e-19,1,0,0.975659,0
15,4.60206,-2.72041e-9,4.60206,-7.36037e-20,1,0,0.981673,0
16,4.61801,-3.23751e-9,4.61801,-4.00296e-20,1,0,0.986201,0
17,4.63003,-3.62681e-9,4.63003,-8.27142e-21,1,0,0.98961,0
18,4.63907,-3.91995e-9,4.63907,-2.23007e-20,1,0,0.992177,0
19,4.64588,-4.14067e-9,4.64588,-2.24223e-20,1,0,0.99411,0
20,4.65101,-4.30685e-9,4.65101,9.61208e-22,1,0,0.995565,0
21,4.65487,-4.43198e-9,4.65487,-1.07135e-20,1,0,0.996661,0
22,4.65778,-4.52619e-9,4.65778,4.92539e-21,1,0,0.997486,0
23,4.65997,-4.59713e-9,4.65997,-3.8475e-21,1,0,0.998107,0
24,4.66162,-4.65048e-9,4.66162,-3.19607e-21,1,0,0.998575,0
25,4.66286,-4.7095e-9,4.66286,4.22852e-20,1,0,0.998927,0
26,4.66379,-4.85986e-9,4.66379,-4.20832e-19,1,0,0.999192,0
27,4.6645,-4.7805e-9,4.6645,-5.8797e-19,1,0,0.999392,0
28,4.66503,-4.69801e-9,4.66503,-5.76538e-19,1,0,0.999542,0
29,4.66542,-4.81722e-9,4.66542,-2.94712e-19,1,0,0.999655,0
30,4.66572,-5.18484e-9,4.66572,-3.45097e-20,1,0,0.99974,0
31,4.66595,-5.46117e-9,4.66595,7.64124e-21,1,0,0.999804,0
32,4.66612,-5.66911e-9,4.66612,-4.66619e-21,1,0,0.999853,0
33,4.66625,-5.82595e-9,4.66625,-3.21908e-21,1,0,0.999889,0
34,4.66635,-5.94403e-9,4.66635,6.57144e-23,1,0,0.999917,0
35,4.66642,-6.03294e-9,4.66642,1.25599e-21,1,0,0.999937,0
36,4.66647,-6.09988e-9,4.66647,-7.15185e-22,1,0,0.999953,0
37,4.66651,-6.14975e-9,4.66651,-1.58202e-22,1,0,0.999964,0
38,4.66655,-6.15442e-9,4.66655,1.29501e-20,1,0,0.999973,0
39,4.66657,-6.15835e-9,4.66657,-5.18048e-20,1,0,0.99998,0
40,4.66659,-6.42611e-9,4.66659,-2.65736e-19,1,0,0.999985,0
41,4.6666,-6.55929e-9,4.6666,3.37518e-19,1,0,0.999989,0
42,4.66661,-6.77293e-9,4.66661,1.16242e-19,1,0,0.999991,0
43,4.66662,-7.21352e-9,4.66662,-6.41253e-19,1,0,0.999994,0
44,4.66662,-7.50243e-9,4.66662,-1.1376e-19,1,0,0.999995,0
45,4.66663,-7.69926e-9,4.66663,-4.12704e-20,1,0,0.999996,0
46,4.66663,-7.87352e-9,4.66663,-5.88642e-20,1,0,0.999997,0
47,4.66663,-7.99354e-9,4.66663,-1.42806e-20,1,0,0.999998,0
48,4.66663,-8.08234e-9,4.66663,1.2754e-21,1,0,0.999998,0
49,4.66664,-8.15334e-9,4.66664,-7.74171e-21,1,0,0.999999,0
50,4.66664,-8.20441e-9,4.66664,-1.42749e-21,1,0,0.999999,0
51,4.66664,-8.23417e-9,4.66664,2.1134e-20,1,0,0.999999,0
52,4.66664,-8.23287e-9,4.66664,4.62236e-20,1,0,0.999999,0
53,4.66664,-8.74032e-9,4.66664,1.88241e-18,1,0,1,0
54,4.66664,-9.31923e-9,4.66664,2.3004e-18,1,0,1,0
55,4.66664,-9.29885e-9,4.66664,4.85266e-19,1,0,1,0
56,4.66664,-9.19301e-9,4.66664,1.69365e-19,1,0,1,0
57,4.66664,-9.30625e-9,4.66664,1.37244e-18,1,0,1,0
58,4.66664,-9.46318e-9,4.66664,7.85235e-19,1,0,1,0
59,4.66664,-9.43035e-9,4.66664,-2.27307e-20,1,0,1,0
60,4.66664,-9.25587e-9,4.66664,-8.43721e-19,1,0,1,0
61,4.66664,-9.08096e-9,4.66664,-7.00292e-19,1,0,1,0
62,4.66664,-9.06307e-9,4.66664,-4.53211e-19,1,0,1,0
63,4.66664,-9.1159e-9,4.66664,-8.25187e-20,1,0,1,0
64,4.66664,-9.25391e-9,4.66664,5.9576e-19,1,0,1,0
65,4.66664,-9.40142e-9,4.66664,9.70692e-19,1,0,1,0
66,4.66664,-9.48842e-9,4.66664,7.45886e-19,1,0,1,0
67,4.66664,-9.50636e-9,4.66664,1.57565e-19,1,0,1,0
68,4.66664,-9.54937e-9,4.66664,6.00717e-20,1,0,1,0
69,4.66664,-9.55039e-9,4.66664,1.945e-20,1,0,1,0
70,4.66664,-9.54996e-9,4.66664,1.02208e-20,1,0,1,0
71,4.66664,-9.54985e-9,4.66664,6.7875e-21,1,0,1,0
72,4.66664,-9.55139e-9,4.66664,3.13833e-21,1,0,1,0
73,4.66664,-9.55196e-9,4.66664,1.17797e-21,1,0,1,0
74,4.66664,-9.55317e-9,4.66664,-2.13904e-22,1,0,1,0
75,4.66664,-9.55393e-9,4.66664,-3.21355e-23,1,0,1,0
76,4.66664,-9.55384e-9,4.66664,1.38254e-22,1,0,1,0
77,4.66664,-9.55429e-9,4.66664,-1.3159e-23,1,0,1,0
78,4.66664,-9.55498e-9,4.66664,3.63343e-23,1,0,1,0
79,4.66664,-9.55476e-9,4.66664,6.89845e-24,1,0,1,0
80,4.66664,-9.55523e-9,4.66664,8.08187e-24,1,0,1,0
81,4.66664,-9.55583e-9,4.66664,4.41862e-24,1,0,1,0
82,4.66664,-9.55634e-9,4.66664,2.49737e-24,1,0,1,0
83,4.66664,-9.5564e-9,4.66664,1.47175e-24,1,0,1,0
84,4.66664,-9.55635e-9,4.66664,1.07285e-24,1,0,1,0
85,4.66664,-9.55697e-9,4.66664,1.03155e-24,1,0,1,0
86,4.66664,-9.55806e-9,4.66664,9.83451e-25,1,0,1,0
87,4.66664,-9.55829e-9,4.66664,7.38513e-25,1,0,1,0
88,4.66664,-9.55826e-9,4.66664,4.85344e-25,1,0,1,0
89,4.66664,-9.55815e-9,4.66664,3.55373e-25,1,0,1,0
90,4.66664,-9.55766e-9,4.66664,2.94396e-25,1,0,1,0
91,4.66664,-9.5568e-9,4.66664,2.69976e-25,1,0,1,0
92,4.66664,-9.55646e-9,4.66664,2.63009e-25,1,0,1,0
93,4.66664,-9.55633e-9,4.66664,2.59855e-25,1,0,1,0
94,4.66664,-9.55618e-9,4.66664,2.58598e-25,1,0,1,0
95,4.66664,-9.55607e-9,4.66664,2.59994e-25,1,0,1,0
96,4.66664,-9.55561e-9,4.66664,2.61586e-25,1,0,1,0
97,4.66664,-9.5552e-9,4.66664,2.6313e-25,1,0,1,0
98,4.66664,-9.55506e-9,4.66664,2.63944e-25,1,0,1,0
99,4.66664,-9.55509e-9,4.66664,2.64279e-25,1,0,1,0
100,4.66664,-9.55509e-9,4.66664,2.64451e-25,1,0,1,0
100,4.66664,-9.55509e-9,4.66664,2.64451e-25,1,0,1,0
100,4.66664,-9.55509e-9,4.66664,2.64451e-25,1,0,1,0
100,4.66664,-9.55509e-9,4.66664,2.64451e-25,0,1,1,0
101,5.77561,1.10897,3.55767,1.10897,0,1,1.06248,-0.0624794
102,6.69976,2.03312,2.63352,2.03312,0,1,0.787249,0.212751
103,7.3725,2.70586,1.96078,2.70586,0,1,0.57122,0.42878
104,7.86431,3.19767,1.46897,3.19767,0,1,0.421296,0.578704
105,8.22934,3.5627,1.10394,3.5627,0,1,0.314457,0.685543
106,8.50262,3.83598,0.830656,3.83598,0,1,0.236011,0.763989
107,8.70798,4.04134,0.625302,4.04134,0,1,0.177511,0.822489
108,8.8625,4.19586,0.470784,4.19586,0,1,0.13361,0.86639
109,8.97882,4.31218,0.354465,4.31218,0,1,0.100591,0.899409
110,9.06639,4.39975,0.266889,4.39975,0,1,0.0757364,0.924264
111,9.13233,4.46569,0.20095,4.46569,0,1,0.0570244,0.942976
112,9.18198,4.51534,0.151303,4.51534,0,1,0.0429357,0.957064
113,9.21936,4.55272,0.113922,4.55272,0,1,0.0323279,0.967672
114,9.2475,4.58086,0.0857759,4.58086,0,1,0.0243409,0.975659
115,9.2687,4.60206,0.0645839,4.60206,0,1,0.0183272,0.981673
116,9.28465,4.61801,0.0486276,4.61801,0,1,0.0137992,0.986201
117,9.29667,4.63003,0.0366135,4.63003,0,1,0.0103899,0.98961
118,9.30571,4.63907,0.0275677,4.63907,0,1,0.00782298,0.992177
119,9.31252,4.64588,0.0207568,4.64588,0,1,0.00589021,0.99411
120,9.31765,4.65101,0.0156285,4.65101,0,1,0.00443496,0.995565
121,9.32151,4.65487,0.0117673,4.65487,0,1,0.00333925,0.996661
122,9.32442,4.65778,0.00886005,4.65778,0,1,0.00251424,0.997486
123,9.32661,4.65997,0.00667106,4.65997,0,1,0.00189307,0.998107
124,9.32826,4.66162,0.00502289,4.66162,0,1,0.00142536,0.998575
125,9.3295,4.66286,0.00378192,4.66286,0,1,0.00107321,0.998927
126,9.33043,4.66379,0.00284755,4.66379,0,1,0.000808059,0.999192
127,9.33114,4.6645,0.00214403,4.6645,0,1,0.000608418,0.999392
128,9.33167,4.66503,0.00161432,4.66503,0,1,0.0004581,0.999542
129,9.33206,4.66542,0.00121548,4.66542,0,1,0.000344921,0.999655
130,9.33236,4.66572,0.000915181,4.66572,0,1,0.000259704,0.99974
131,9.33259,4.66595,0.000689074,4.66595,0,1,0.000195541,0.999804
132,9.33276,4.66612,0.00051883,4.66612,0,1,0.00014723,0.999853
133,9.33289,4.66625,0.000390646,4.66625,0,1,0.000110855,0.999889
134,9.33299,4.66635,0.000294132,4.66635,0,1,8.34669e-5,0.999917
135,9.33306,4.66642,0.000221463,4.66642,0,1,6.28453e-5,0.999937
136,9.33311,4.66647,0.000166748,4.66647,0,1,4.73186e-5,0.999953
137,9.33315,4.66651,0.000125551,4.66651,0,1,3.5628e-5,0.999964
138,9.33319,4.66655,9.45321e-5,4.66655,0,1,2.68257e-5,0.999973
139,9.33321,4.66657,7.11768e-5,4.66657,0,1,2.01981e-5,0.99998
140,9.33323,4.66659,5.35918e-5,4.66659,0,1,1.52079e-5,0.999985
141,9.33324,4.6666,4.03513e-5,4.6666,0,1,1.14506e-5,0.999989
142,9.33325,4.66661,3.03821e-5,4.66661,0,1,8.62162e-6,0.999991
143,9.33326,4.66662,2.28759e-5,4.66662,0,1,6.49155e-6,0.999994
144,9.33326,4.66662,1.72241e-5,4.66662,0,1,4.88774e-6,0.999995
145,9.33327,4.66663,1.29687e-5,4.66663,0,1,3.68017e-6,0.999996
146,9.33327,4.66663,9.76464e-6,4.66663,0,1,2.77094e-6,0.999997
147,9.33327,4.66663,7.35218e-6,4.66663,0,1,2.08635e-6,0.999998
148,9.33327,4.66663,5.53574e-6,4.66663,0,1,1.57089e-6,0.999998
149,9.33328,4.66664,4.16807e-6,4.66664,0,1,1.18279e-6,0.999999
150,9.33328,4.66664,3.13831e-6,4.66664,0,1,8.90568e-7,0.999999
151,9.33328,4.66664,2.363e-6,4.66664,0,1,6.70557e-7,0.999999
152,9.33328,4.66664,1.77927e-6,4.66664,0,1,5.04904e-7,0.999999
153,9.33328,4.66664,1.33973e-6,4.66664,0,1,3.80176e-7,1
154,9.33328,4.66664,1.00877e-6,4.66664,0,1,2.86261e-7,1
155,9.33328,4.66664,7.5958e-7,4.66664,0,1,2.15546e-7,1
156,9.33328,4.66664,5.71942e-7,4.66664,0,1,1.623e-7,1
157,9.33328,4.66664,4.30657e-7,4.66664,0,1,1.22208e-7,1
158,9.33328,4.66664,3.24272e-7,4.66664,0,1,9.20189e-8,1
159,9.33328,4.66664,2.44167e-7,4.66664,0,1,6.92874e-8,1
160,9.33328,4.66664,1.83852e-7,4.66664,0,1,5.21716e-8,1
161,9.33328,4.66664,1.38435e-7,4.66664,0,1,3.92837e-8,1
162,9.33328,4.66664,1.04238e-7,4.66664,0,1,2.95795e-8,1
163,9.33328,4.66664,7.84879e-8,4.66664,0,1,2.22725e-8,1
164,9.33328,4.66664,5.91045e-8,4.66664,0,1,1.6774e-8,1
165,9.33328,4.66664,4.45235e-8,4.66664,0,1,1.26454e-8,1
166,9.33328,4.66664,3.35374e-8,4.66664,0,1,9.53737e-9,1
167,9.33328,4.66664,2.526e-8,4.66664,0,1,7.20438e-9,1
168,9.33328,4.66664,1.90007e-8,4.66664,0,1,5.45719e-9,1
169,9.33328,4.66664,1.42436e-8,4.66664,0,1,4.15878e-9,1
170,9.33328,4.66664,1.0613e-8,4.66664,0,1,3.1851e-9,1
171,9.33328,4.66664,7.83245e-9,4.66664,0,1,2.43414e-9,1
172,9.33328,4.66664,5.71999e-9,4.66664,0,1,1.82298e-9,1
173,9.33328,4.66664,4.15616e-9,4.66664,0,1,1.31856e-9,1
174,9.33328,4.66664,3.04351e-9,4.66664,0,1,9.11046e-10,1
175,9.33328,4.66664,2.28676e-9,4.66664,0,1,6.21269e-10,1
176,9.33328,4.66664,1.76335e-9,4.66664,0,1,4.61164e-10,1
177,9.33328,4.66664,1.35737e-9,4.66664,0,1,4.12962e-10,1
178,9.33328,4.66664,9.8264e-10,4.66664,0,1,4.02764e-10,1
179,9.33328,4.66664,6.3977e-10,4.66664,0,1,3.26162e-10,1
180,9.33328,4.66664,3.66028e-10,4.66664,0,1,2.33158e-10,1
181,9.33328,4.66664,1.77062e-10,4.66664,0,1,1.41763e-10,1
182,9.33328,4.66664,6.8872e-11,4.66664,0,1,6.54865e-11,1
183,9.33328,4.66664,3.00273e-11,4.66664,0,1,1.45854e-11,1
184,9.33328,4.66664,-4.74545e-12,4.66664,0,1,-1.68328e-11,1
185,9.33328,4.66664,-2.31754e-11,4.66664,0,1,-2.84781e-11,1
186,9.33328,4.66664,-2.43281e-11,4.66664,0,1,-2.2351e-11,1
187,9.33328,4.66664,-1.45009e-11,4.66664,0,1,-1.72582e-11,1
188,9.33328,4.66664,-4.67364e-12,4.66664,0,1,-1.21656e-11,1
189,9.33328,4.66664,1.52425e-12,4.66664,0,1,-7.36367e-12,1
190,9.33328,4.66664,5.73642e-13,4.66664,0,1,-3.13372e-12,1
191,9.33328,4.66664,-3.76966e-13,4.66664,0,1,1.09646e-12,1
192,9.33328,4.66664,-2.20855e-12,4.66664,0,1,3.06133e-12,1
193,9.33328,4.66664,-4.75727e-12,4.66664,0,1,2.66853e-12,1
194,9.33328,4.66664,-4.94965e-12,4.66664,0,1,1.77458e-12,1
195,9.33328,4.66664,-5.14203e-12,4.66664,0,1,8.80629e-13,1
196,9.33328,4.66664,-5.25948e-12,4.66664,0,1,1.7919e-13,1
197,9.33328,4.66664,-5.12626e-12,4.66664,0,1,1.22125e-13,1
198,9.33328,4.66664,-4.99305e-12,4.66664,0,1,6.4615e-14,1
199,9.33328,4.66664,-4.85983e-12,4.66664,0,1,7.54952e-15,1
200,9.33328,4.66664,-4.72662e-12,4.66664,0,1,-4.9738e-14,1
200,9.33328,4.66664,-4.72662e-12,4.66664,1,1,-4.9738e-14,1
200,9.33328,4.66664,-9.9152e-13,4.66664,1,1,-2.85105e-12,1
200,9.33328,4.66664,-9.9152e-13,4.66664,1,0,-2.85105e-12,1
201,10.4422,5.77561,1.10897,3.55767,1,0,-0.0624794,1.06248
202,11.3664,6.69976,2.03312,2.63352,1,0,0.212751,0.787249
203,12.0391,7.3725,2.70586,1.96078,1,0,0.42878,0.57122
204,12.531,7.86431,3.19767,1.46897,1,0,0.578704,0.421296
205,12.896,8.22934,3.5627,1.10394,1,0,0.685543,0.314457
206,13.1693,8.50262,3.83598,0.830656,1,0,0.763989,0.236011
207,13.3746,8.70798,4.04134,0.625302,1,0,0.822489,0.177511
208,13.5291,8.8625,4.19586,0.470784,1,0,0.86639,0.13361
209,13.6455,8.97882,4.31218,0.354465,1,0,0.899409,0.100591
210,13.733,9.06639,4.39975,0.266889,1,0,0.924264,0.0757364
211,13.799,9.13233,4.46569,0.20095,1,0,0.942976,0.0570244
212,13.8486,9.18198,4.51534,0.151303,1,0,0.957064,0.0429357
213,13.886,9.21936,4.55272,0.113922,1,0,0.967672,0.0323279
214,13.9141,9.2475,4.58086,0.0857759,1,0,0.975659,0.0243409
215,13.9353,9.2687,4.60206,0.0645839,1,0,0.981673,0.0183272
216,13.9513,9.28465,4.61801,0.0486276,1,0,0.986201,0.0137992
217,13.9633,9.29667,4.63003,0.0366135,1,0,0.98961,0.0103899
218,13.9724,9.30571,4.63907,0.0275677,1,0,0.992177,0.00782298
219,13.9792,9.31252,4.64588,0.0207568,1,0,0.99411,0.00589021
220,13.9843,9.31765,4.65101,0.0156285,1,0,0.995565,0.00443496
221,13.9882,9.32151,4.65487,0.0117673,1,0,0.996661,0.00333925
222,13.9911,9.32442,4.65778,0.00886005,1,0,0.997486,0.00251424
223,13.9932,9.32661,4.65997,0.00667106,1,0,0.998107,0.00189307
224,13.9949,9.32826,4.66162,0.00502289,1,0,0.998575,0.00142536
225,13.9961,9.3295,4.66286,0.00378192,1,0,0.998927,0.00107321
226,13.9971,9.33043,4.66379,0.00284755,1,0,0.999192,0.000808059
227,13.9978,9.33114,4.6645,0.00214403,1,0,0.999392,0.000608418
228,13.9983,9.33167,4.66503,0.00161432,1,0,0.999542,0.0004581
229,13.9987,9.33206,4.66542,0.00121548,1,0,0.999655,0.000344921
