"time","G_11.y","G_22.y","IAE_1.y","IAE_2.y","IE_1.y","IE_2.y","r_11.y","r_22.y"
0,0,0,0,0,0,0,1,0
1,1.03342,0,0.277315,0,0.271029,0,1,0
2,1.02719,0,0.319726,0,0.228618,0,1,0
3,1.00362,0,0.332436,0,0.215908,0,1,0
4,0.999986,0,0.333545,0,0.214799,0,1,0
5,0.999919,0,0.333645,0,0.214899,0,1,0
6,0.999987,0,0.333685,0,0.214939,0,1,0
7,1,0,0.333689,0,0.214944,0,1,0
8,1,0,0.33369,0,0.214943,0,1,0
9,1,0,0.33369,0,0.214943,0,1,0
10,1,0,0.33369,0,0.214943,0,1,0
11,1,0,0.33369,0,0.214943,0,1,0
12,1,0,0.33369,0,0.214943,0,1,0
13,1,0,0.33369,0,0.214943,0,1,0
14,1,0,0.33369,0,0.214943,0,1,0
15,1,0,0.33369,0,0.214943,0,1,0
16,1,0,0.33369,0,0.214943,0,1,0
17,1,0,0.33369,0,0.214943,0,1,0
18,1,0,0.33369,0,0.214943,0,1,0
19,1,0,0.33369,0,0.214943,0,1,0
20,1,0,0.33369,0,0.214943,0,1,0
21,1,0,0.33369,0,0.214943,0,1,0
22,1,0,0.33369,0,0.214943,0,1,0
23,1,0,0.33369,0,0.214943,0,1,0
24,1,0,0.33369,0,0.214943,0,1,0
25,1,0,0.33369,0,0.214943,0,1,0
26,1,0,0.33369,0,0.214943,0,1,0
27,1,0,0.33369,0,0.214943,0,1,0
28,1,0,0.33369,0,0.214943,0,1,0
29,1,0,0.33369,0,0.214943,0,1,0
30,1,0,0.33369,0,0.214943,0,1,0
31,1,0,0.33369,0,0.214943,0,1,0
32,1,0,0.33369,0,0.214943,0,1,0
33,1,0,0.33369,0,0.214943,0,1,0
34,1,0,0.33369,0,0.214943,0,1,0
35,1,0,0.33369,0,0.214943,0,1,0
36,1,0,0.33369,0,0.214943,0,1,0
37,1,0,0.33369,0,0.214943,0,1,0
38,1,0,0.33369,0,0.214943,0,1,0
39,1,0,0.33369,0,0.214943,0,1,0
40,1,0,0.33369,0,0.214943,0,1,0
41,1,0,0.33369,0,0.214943,0,1,0
42,1,0,0.33369,0,0.214943,0,1,0
43,1,0,0.33369,0,0.214943,0,1,0
44,1,0,0.33369,0,0.214943,0,1,0
45,1,0,0.33369,0,0.214943,0,1,0
46,1,0,0.33369,0,0.214943,0,1,0
47,1,0,0.33369,0,0.214943,0,1,0
48,1,0,0.33369,0,0.214943,0,1,0
49,1,0,0.33369,0,0.214943,0,1,0
50,1,0,0.33369,0,0.214943,0,1,0
51,1,0,0.33369,0,0.214943,0,1,0
52,1,0,0.33369,0,0.214943,0,1,0
53,1,0,0.33369,0,0.214943,0,1,0
54,1,0,0.33369,0,0.214943,0,1,0
55,1,0,0.33369,0,0.214943,0,1,0
56,1,0,0.33369,0,0.214943,0,1,0
57,1,0,0.33369,0,0.214943,0,1,0
58,1,0,0.33369,0,0.214943,0,1,0
59,1,0,0.33369,0,0.214943,0,1,0
60,1,0,0.33369,0,0.214943,0,1,0
61,1,0,0.33369,0,0.214943,0,1,0
62,1,0,0.33369,0,0.214943,0,1,0
63,1,0,0.33369,0,0.214943,0,1,0
64,1,0,0.33369,0,0.214943,0,1,0
65,1,0,0.33369,0,0.214943,0,1,0
66,1,0,0.33369,0,0.214943,0,1,0
67,1,0,0.33369,0,0.214943,0,1,0
68,1,0,0.33369,0,0.214943,0,1,0
69,1,0,0.33369,0,0.214943,0,1,0
70,1,0,0.33369,0,0.214943,0,1,0
71,1,0,0.33369,0,0.214943,0,1,0
72,1,0,0.33369,0,0.214943,0,1,0
73,1,0,0.33369,0,0.214943,0,1,0
74,1,0,0.33369,0,0.214943,0,1,0
75,1,0,0.33369,0,0.214943,0,1,0
76,1,0,0.33369,0,0.214943,0,1,0
77,1,0,0.33369,0,0.214943,0,1,0
78,1,0,0.33369,0,0.214943,0,1,0
79,1,0,0.33369,0,0.214943,0,1,0
80,1,0,0.33369,0,0.214943,0,1,0
81,1,0,0.33369,0,0.214943,0,1,0
82,1,0,0.33369,0,0.214943,0,1,0
83,1,0,0.33369,0,0.214943,0,1,0
84,1,0,0.33369,0,0.214943,0,1,0
85,1,0,0.33369,0,0.214943,0,1,0
86,1,0,0.33369,0,0.214943,0,1,0
87,1,0,0.33369,0,0.214943,0,1,0
88,1,0,0.33369,0,0.214943,0,1,0
89,1,0,0.33369,0,0.214943,0,1,0
90,1,0,0.33369,0,0.214943,0,1,0
91,1,0,0.33369,0,0.214943,0,1,0
92,1,0,0.33369,0,0.214943,0,1,0
93,1,0,0.33369,0,0.214943,0,1,0
94,1,0,0.33369,0,0.214943,0,1,0
95,1,0,0.33369,0,0.214943,0,1,0
96,1,0,0.33369,0,0.214943,0,1,0
97,1,0,0.33369,0,0.214943,0,1,0
98,1,0,0.33369,0,0.214943,0,1,0
99,1,0,0.33369,0,0.214943,0,1,0
100,1,0,0.33369,0,0.214943,0,1,0
100,1,0,0.33369,0,0.214943,0,1,0
100,1,0,0.33369,0,0.214943,0,1,0
100,1,0,0.33369,0,0.214943,0,0,1
101,-0.0334241,1.03342,0.611004,0.277315,-0.0560857,0.271029,0,1
102,-0.0271919,1.02719,0.653415,0.319726,-0.0136745,0.228618,0,1
103,-0.00362382,1.00362,0.666125,0.332436,-0.000964556,0.215908,0,1
104,1.36549e-5,0.999986,0.667234,0.333545,0.000144216,0.214799,0,1
105,8.13311e-5,0.999919,0.667334,0.333645,4.4157e-5,0.214899,0,1
106,1.27241e-5,0.999987,0.667375,0.333685,3.92059e-6,0.214939,0,1
107,2.61091e-7,1,0.667379,0.333689,-3.36598e-7,0.214944,0,1
108,-2.3615e-7,1,0.667379,0.33369,-1.39555e-7,0.214943,0,1
109,-4.36574e-8,1,0.667379,0.33369,-1.50437e-8,0.214943,0,1
110,-1.74724e-9,1,0.667379,0.33369,6.64242e-10,0.214943,0,1
111,6.07385e-10,1,0.667379,0.33369,4.03731e-10,0.214943,0,1
112,1.21826e-10,1,0.667379,0.33369,4.21832e-11,0.214943,0,1
113,4.11062e-12,1,0.667379,0.33369,-2.22334e-12,0.214943,0,1
114,1.47051e-12,1,0.667379,0.33369,-8.72532e-14,0.214943,0,1
115,2.78339e-13,1,0.667379,0.33369,-1.95813e-13,0.214943,0,1
116,-6.50735e-14,1,0.667379,0.33369,-1.33029e-13,0.214943,0,1
117,-5.52376e-14,1,0.667379,0.33369,-9.8683e-14,0.214943,0,1
118,-4.54017e-14,1,0.667379,0.33369,-6.43366e-14,0.214943,0,1
119,-3.55658e-14,1,0.667379,0.33369,-2.99902e-14,0.214943,0,1
120,-3.01923e-14,1,0.667379,0.33369,-2.24661e-14,0.214943,0,1
121,-2.54504e-14,1,0.667379,0.33369,-1.8738e-14,0.214943,0,1
122,-2.07084e-14,1,0.667379,0.33369,-1.50099e-14,0.214943,0,1
123,-1.59664e-14,1,0.667379,0.33369,-1.12819e-14,0.214943,0,1
124,-1.12244e-14,1,0.667379,0.33369,-7.55382e-15,0.214943,0,1
125,-6.48245e-15,1,0.667379,0.33369,-3.82575e-15,0.214943,0,1
126,-3.61203e-15,1,0.667379,0.33369,-1.59608e-15,0.214943,0,1
