"time","IAE_1.y","IAE_2.y","IE_1.y","IE_2.y","r_11.y","r_22.y","y_11.y","y_22.y"
0,0,0,0,0,1,0,0,0
1,1.04466,1.82514e-12,1.04466,1.85894e-16,1,0,-0.0529837,0
2,2.05323,7.45411e-11,2.05323,7.9004e-16,1,0,0.052866,1.11022e-16
3,2.91884,1.38685e-10,2.91884,6.74803e-16,1,0,0.220506,0
4,3.61028,3.63339e-10,3.61028,1.15229e-15,1,0,0.39492,2.22045e-16
5,4.13552,1.30942e-9,4.13552,1.30254e-15,1,0,0.550279,0
6,4.51924,1.89975e-9,4.51924,1.31747e-15,1,0,0.677348,0
7,4.79049,2.25256e-9,4.79049,1.32371e-15,1,0,0.775549,0
8,4.97665,2.45356e-9,4.97665,1.32737e-15,1,0,0.848283,4.44089e-16
9,5.10083,2.56062e-9,5.10083,1.32972e-15,1,0,0.900313,4.44089e-16
10,5.18132,3.00605e-9,5.18132,1.33177e-15,1,0,0.936411,4.44089e-16
11,5.23192,3.80257e-9,5.23192,1.33224e-15,1,0,0.960748,4.44089e-16
12,5.26261,3.95569e-9,5.26261,1.3323e-15,1,0,0.976698,4.44089e-16
13,5.28045,3.80596e-9,5.28045,1.33226e-15,1,0,0.986844,4.44089e-16
14,5.29022,3.53802e-9,5.29022,1.33228e-15,1,0,0.993086,4.44089e-16
15,5.29512,3.2508e-9,5.29512,1.33226e-15,1,0,0.996777,4.44089e-16
16,5.2972,2.99131e-9,5.2972,1.33227e-15,1,0,0.99885,4.44089e-16
17,5.29775,2.77723e-9,5.29775,1.33226e-15,1,0,0.99993,4.44089e-16
18,5.29797,2.73944e-9,5.29754,1.33194e-15,1,0,1.00043,4.44089e-16
19,5.2985,2.63572e-9,5.29701,1.33225e-15,1,0,1.0006,4.44089e-16
20,5.29911,2.55424e-9,5.2964,1.33227e-15,1,0,1.0006,4.44089e-16
21,5.29967,2.50636e-9,5.29584,1.33225e-15,1,0,1.00052,4.44089e-16
22,5.30014,2.38443e-9,5.29537,1.3321e-15,1,0,1.00042,4.44089e-16
23,5.30051,2.2698e-9,5.295,1.33213e-15,1,0,1.00032,4.44089e-16
24,5.30079,2.51293e-9,5.29472,1.33241e-15,1,0,1.00024,4.44089e-16
25,5.30099,2.9092e-9,5.29452,1.3323e-15,1,0,1.00017,4.44089e-16
26,5.30113,3.15735e-9,5.29437,1.33228e-15,1,0,1.00012,4.44089e-16
27,5.30123,3.29919e-9,5.29428,1.33227e-15,1,0,1.00008,4.44089e-16
28,5.30129,3.37373e-9,5.29421,1.33227e-15,1,0,1.00005,4.44089e-16
29,5.30134,3.7541e-9,5.29417,1.33223e-15,1,0,1.00003,4.44089e-16
30,5.30136,3.9492e-9,5.29415,1.33229e-15,1,0,1.00002,4.44089e-16
31,5.30138,4.29477e-9,5.29413,1.33226e-15,1,0,1.00001,4.44089e-16
32,5.30139,4.22986e-9,5.29412,1.33227e-15,1,0,1.00001,4.44089e-16
33,5.30139,4.16775e-9,5.29412,1.33227e-15,1,0,1,4.44089e-16
