"time","IAE_1.y","IAE_2.y","IE1.y","IE2.y","r_11.y","r_22.y","y_11.y","y_22.y"
0,0,0,0,0,1,0,0,0
1,1.10897,1.13004e-10,1.10897,-2.79789e-18,1,0,-0.062479,0
2,2.03312,-7.31304e-10,2.03312,7.80311e-17,1,0,0.21275,-2.22045e-16
3,2.70586,-3.95187e-10,2.70586,-3.5716e-17,1,0,0.428779,-4.44089e-16
4,3.19768,-1.46659e-9,3.19768,3.64607e-16,1,0,0.578701,1.77636e-15
5,3.5627,-1.04549e-9,3.5627,-8.65625e-17,1,0,0.68554,4.44089e-16
6,3.83599,-1.402e-9,3.83599,3.55001e-17,1,0,0.763987,4.44089e-16
7,4.04135,-1.58013e-9,4.04135,-2.57632e-17,1,0,0.822486,0
8,4.19587,-1.64068e-9,4.19587,-2.6649e-17,1,0,0.866387,-8.88178e-16
9,4.31219,-2.3563e-9,4.31219,1.13419e-16,1,0,0.899407,0
10,4.39977,-2.93716e-9,4.39977,1.24687e-16,1,0,0.924262,0
11,4.46571,-3.32489e-9,4.46571,1.26528e-16,1,0,0.942974,0
12,4.51536,-3.60131e-9,4.51536,-1.76768e-16,1,0,0.957063,4.44089e-16
13,4.55274,-3.80635e-9,4.55274,-6.29256e-18,1,0,0.967671,4.44089e-16
14,4.58089,-3.96009e-9,4.58089,-1.41953e-16,1,0,0.975658,0
15,4.60208,-4.07573e-9,4.60208,1.75815e-17,1,0,0.981672,4.44089e-16
16,4.61804,-4.16278e-9,4.61804,-2.15091e-16,1,0,0.9862,-4.44089e-16
17,4.63005,-4.22832e-9,4.63005,-5.22023e-17,1,0,0.98961,-4.44089e-16
18,4.6391,-4.27741e-9,4.6391,2.55558e-17,1,0,0.992177,-4.44089e-16
19,4.64591,-4.20346e-9,4.64591,4.65841e-18,1,0,0.994109,4.44089e-16
20,4.65104,-4.08898e-9,4.65104,3.03553e-17,1,0,0.995565,0
21,4.6549,-4.00162e-9,4.6549,-1.10078e-16,1,0,0.996661,-4.44089e-16
22,4.65781,-4.4237e-9,4.65781,-1.00394e-16,1,0,0.997486,0
23,4.66,-4.86509e-9,4.66,-2.03427e-17,1,0,0.998107,-4.44089e-16
24,4.66164,-5.19539e-9,4.66164,1.38359e-16,1,0,0.998575,4.44089e-16
25,4.66288,-5.44432e-9,4.66288,-1.70684e-17,1,0,0.998927,-4.44089e-16
26,4.66382,-5.63171e-9,4.66382,7.85285e-17,1,0,0.999192,4.44089e-16
27,4.66452,-5.77281e-9,4.66452,-2.20543e-16,1,0,0.999392,-8.88178e-16
28,4.66505,-5.87905e-9,4.66505,-9.68726e-17,1,0,0.999542,0
29,4.66545,-5.95905e-9,4.66545,-2.54326e-16,1,0,0.999655,-4.44089e-16
30,4.66575,-6.01927e-9,4.66575,1.43023e-16,1,0,0.99974,0
31,4.66598,-6.05817e-9,4.66598,9.21381e-15,1,0,0.999804,-6.57252e-14
32,4.66615,-6.12542e-9,4.66615,3.0078e-13,1,0,0.999853,-5.08038e-13
33,4.66628,-6.40463e-9,4.66628,3.3504e-13,1,0,0.999889,1.23546e-12
34,4.66637,-6.89361e-9,4.66637,-3.60981e-12,1,0,0.999917,6.15241e-12
35,4.66645,-7.49285e-9,4.66645,-5.31928e-12,1,0,0.999937,-1.04028e-11
36,4.6665,-7.85037e-9,4.6665,3.49286e-11,1,0,0.999953,-7.26397e-11
