"time","r_11.y","r_22.y","y_11.y","y_22.y","IE_1.y","IE_2.y","IAE_1.y","IAE_2.y"
0,1,0,0,0,0,0,0,0
1,1,0,0,0,1,0,1,0
2,1,0,0.172215,0,1.91389,0,1.91389,0
3,1,0,0.335861,0,2.65985,0,2.65985,0
4,1,0,0.475856,0,3.254,0,3.254,0
5,1,0,0.593623,0,3.71926,0,3.71926,0
6,1,0,0.691951,0,4.07647,0,4.07647,0
7,1,0,0.773473,0,4.34376,-4.97559e-11,4.34376,4.97559e-11
8,1,0,0.84054,0.133959,4.53675,-0.0669795,4.53675,0.0669795
9,1,0,0.895231,0.257234,4.66887,-0.262576,4.66887,0.262576
10,1,0,0.939375,0.358704,4.75156,-0.570545,4.75156,0.570545
11,1,0,0.970969,0.434967,4.79639,-0.967381,4.79639,0.967381
12,1,0,0.988219,0.483869,4.8168,-1.4268,4.8168,1.4268
13,1,0,0.993865,0.509191,4.82575,-1.92333,4.82575,1.92333
14,1,0,0.991104,0.514998,4.83327,-2.43542,4.83327,2.43542
15,1,0,0.982917,0.505314,4.84626,-2.94558,4.84626,2.94558
16,1,0,0.971833,0.483864,4.86888,-3.44017,4.86888,3.44017
17,1,0,0.959791,0.453854,4.90307,-3.90903,4.90307,3.90903
18,1,0,0.948193,0.418219,4.94908,-4.34506,4.94908,4.34506
19,1,0,0.937984,0.379876,5.00599,-4.74411,5.00599,4.74411
20,1,0,0.92974,0.341431,5.07213,-5.10476,5.07213,5.10476
21,1,0,0.923743,0.304865,5.14539,-5.42791,5.14539,5.42791
22,1,0,0.920041,0.271526,5.2235,-5.71611,5.2235,5.71611
23,1,0,0.918486,0.242178,5.30423,-5.97296,5.30423,5.97296
24,1,0,0.918796,0.217097,5.38559,-6.2026,5.38559,6.2026
25,1,0,0.920614,0.196198,5.46589,-6.40924,5.46589,6.40924
26,1,0,0.923554,0.179143,5.5438,-6.59691,5.5438,6.59691
27,1,0,0.927246,0.165442,5.6184,-6.76921,5.6184,6.76921
28,1,0,0.931358,0.154524,5.6891,-6.92919,5.6891,6.92919
29,1,0,0.935611,0.145804,5.75562,-7.07935,5.75562,7.07935
30,1,0,0.939791,0.138725,5.81792,-7.22162,5.81792,7.22162
31,1,0,0.943742,0.132793,5.87615,-7.35738,5.87615,7.35738
32,1,0,0.947365,0.127596,5.9306,-7.48757,5.9306,7.48757
33,1,0,0.950609,0.122811,5.98161,-7.61278,5.98161,7.61278
34,1,0,0.953463,0.118203,6.02957,-7.73328,6.02957,7.73328
35,1,0,0.955944,0.113619,6.07487,-7.84919,6.07487,7.84919
