"time","r_11.y","r_22.y","y_11.y","y_22.y","IAE_1.y","IAE_2.y","IE_1.y","IE_2.y"
0,1,0,0,0,0,0,0,0
1,1,0,0,0,1,0,1,0
2,1,0,0.118007,0,1.94262,0,1.94262,0
3,1,0,0.227996,0,2.76961,3.05533e-10,2.76961,3.05533e-10
4,1,0,0.262104,-0.0905516,3.52456,0.0452758,3.52456,0.0452758
5,1,0,0.289676,-0.175028,4.24867,0.178066,4.24867,0.178066
6,1,0,0.315577,-0.253837,4.94605,0.392499,4.94605,0.392499
7,1,0,0.340181,-0.321126,5.61817,0.67998,5.61817,0.67998
8,1,0,0.362855,-0.280793,6.26665,0.98094,6.26665,0.98094
9,1,0,0.386614,-0.230301,6.89192,1.23649,6.89192,1.23649
10,1,0,0.414794,-0.170948,7.49121,1.43711,7.49121,1.43711
11,1,0,0.44437,-0.110617,8.06163,1.57789,8.06163,1.57789
12,1,0,0.472309,-0.0573489,8.60329,1.66188,8.60329,1.66188
13,1,0,0.498355,-0.0158009,9.11796,1.69845,9.11796,1.69845
14,1,0,0.522609,0.0103058,9.60748,1.70527,9.60748,1.7012
15,1,0,0.545176,0.0217648,10.0736,1.7213,10.0736,1.68516
16,1,0,0.56623,0.0204544,10.5179,1.74241,10.5179,1.66405
17,1,0,0.586125,0.0125886,10.9417,1.75893,10.9417,1.64753
18,1,0,0.605194,0.00445751,11.346,1.76746,11.346,1.63901
19,1,0,0.623539,-0.00132311,11.7317,1.76933,11.7317,1.63744
20,1,0,0.641138,-0.00300881,12.0993,1.77149,12.0993,1.63961
21,1,0,0.657964,-0.00028092,12.4498,1.77314,12.4498,1.64125
22,1,0,0.673999,0.006108,12.7838,1.77606,12.7838,1.63834
23,1,0,0.68924,0.0147952,13.1022,1.78652,13.1022,1.62789
24,1,0,0.703698,0.0241613,13.4057,1.80599,13.4057,1.60841
25,1,0,0.717411,0.0327021,13.6952,1.83443,13.6952,1.57998
26,1,0,0.730424,0.0393435,13.9712,1.87045,13.9712,1.54396
27,1,0,0.742782,0.0436613,14.2346,1.91195,14.2346,1.50245
28,1,0,0.754522,0.0457625,14.486,1.95666,14.486,1.45774
29,1,0,0.765677,0.0460879,14.7259,2.00259,14.7259,1.41182
30,1,0,0.776275,0.0452569,14.9549,2.04826,14.9549,1.36614
31,1,0,0.786341,0.0438968,15.1736,2.09284,15.1736,1.32157
32,1,0,0.7959,0.0425229,15.3825,2.13605,15.3825,1.27836
33,1,0,0.804976,0.0414713,15.5821,2.17804,15.5821,1.23636
