"time","IAE_1.y","IAE_2.y","IE_1.y","IE_2.y","r_11.y","r_22.y","y_11.y","y_22.y"
0,0,0,0,0,1,0,0,0
1,1,0,1,0,1,0,0,0
2,1.91386,0,1.91386,0,1,0,0.172287,0
3,2.65972,0,2.65972,0,1,0,0.335981,0
4,3.25374,0,3.25374,0,1,0,0.475994,0
5,3.71886,0,3.71886,0,1,0,0.593756,0
6,4.07595,0,4.07595,0,1,0,0.692062,0
7,4.34314,0,4.34314,0,1,0,0.773553,0
8,4.53607,0,4.53607,0,1,0,0.840586,0
9,4.66816,0,4.66816,0,1,0,0.895242,0
10,4.75086,0,4.75086,0,1,0,0.939352,0
11,4.79393,0,4.79393,0,1,0,0.97452,0
12,4.80576,0,4.80559,0,1,0,1.00215,0
13,4.81856,0,4.79279,0,1,0,1.02345,0
14,4.85003,0,4.76132,0,1,0,1.03949,0
15,4.89536,0,4.71599,0,1,0,1.05117,0
16,4.95058,0,4.66077,0,1,0,1.05927,0
17,5.01245,0,4.59891,0,1,0,1.06446,0
18,5.07833,0,4.53303,0,1,0,1.06731,0
19,5.14614,0,4.46522,0,1,0,1.0683,0
20,5.2142,0,4.39715,0,1,0,1.06783,0
21,5.28125,0,4.33011,0,1,0,1.06625,0
22,5.34629,0,4.26506,0,1,0,1.06384,0
23,5.40863,0,4.20273,0,1,0,1.06083,0
24,5.46774,0,4.14361,0,1,0,1.0574,0
25,5.52331,0,4.08805,0,1,0,1.05372,0
26,5.57512,0,4.03623,0,1,0,1.04992,0
27,5.62312,0,3.98824,0,1,0,1.04607,0
28,5.6673,0,3.94406,0,1,0,1.04228,0
29,5.70773,0,3.90363,0,1,0,1.03858,0
30,5.74453,0,3.86682,0,1,0,1.03503,0
31,5.77788,0,3.83347,0,1,0,1.03166,0
32,5.80796,0,3.8034,0,1,0,1.02849,0
33,5.83496,0,3.7764,0,1,0,1.02552,0
34,5.8591,0,3.75225,0,1,0,1.02277,0
35,5.88061,0,3.73075,0,1,0,1.02023,0
36,5.89968,0,3.71168,0,1,0,1.01791,0
37,5.91653,0,3.69482,0,1,0,1.0158,0
38,5.93137,0,3.67999,0,1,0,1.01388,0
39,5.94438,0,3.66698,0,1,0,1.01214,0
40,5.95574,0,3.65561,0,1,0,1.01059,0
41,5.96563,0,3.64573,0,1,0,1.00919,0
42,5.9742,0,3.63715,0,1,0,1.00795,0
43,5.9816,0,3.62976,0,1,0,1.00685,0
44,5.98796,0,3.6234,0,1,0,1.00587,0
45,5.9934,0,3.61796,0,1,0,1.00501,0
46,5.99804,0,3.61332,0,1,0,1.00426,0
47,6.00196,0,3.60939,0,1,0,1.0036,0
48,6.00528,0,3.60608,0,1,0,1.00303,0
49,6.00805,0,3.6033,0,1,0,1.00253,0
50,6.01037,0,3.60099,0,1,0,1.0021,0
51,6.01228,0,3.59908,0,1,0,1.00173,0
52,6.01385,0,3.59751,0,1,0,1.00141,0
53,6.01512,0,3.59623,0,1,0,1.00114,0
54,6.01615,0,3.59521,0,1,0,1.00091,0
55,6.01696,0,3.59439,0,1,0,1.00072,0
56,6.0176,0,3.59376,0,1,0,1.00055,0
57,6.01808,0,3.59327,0,1,0,1.00042,0
58,6.01845,0,3.59291,0,1,0,1.00031,0
59,6.01871,0,3.59265,0,1,0,1.00021,0
60,6.01889,0,3.59247,0,1,0,1.00014,0
61,6.019,0,3.59236,0,1,0,1.00008,0
62,6.01905,0,3.59231,0,1,0,1.00003,0
63,6.01906,0,3.59229,0,1,0,0.999993,0
64,6.01909,0,3.59231,0,1,0,0.999964,0
65,6.01913,0,3.59236,0,1,0,0.999942,0
