"time","IAE_1.y","IAE_2.y","IE_1.y","IE_2.y","y_11.y","y_22.y","r_11.y","r_22.y"
0,0,0,0,0,0,0,1,0
1,1,0,1,0,0,0,1,0
2,1.99954,0,1.99954,0,0.000922372,0,1,0
3,2.99728,0,2.99728,0,0.0036033,0,1,0
4,3.99153,0,3.99153,0,0.00789732,0,1,0
5,4.98075,0,4.98075,0,0.0136545,0,1,0
6,5.96356,7.6506e-20,5.96356,7.6506e-20,0.0207352,0,1,0
7,6.93869,6.41309e-11,6.93869,-4.58458e-11,0.0290095,-1.8315e-11,1,0
8,7.90502,0.000335555,7.90502,-0.000335555,0.038325,0.000671109,1,0
9,8.86159,0.00196859,8.86159,-0.00196859,0.0485422,0.00259497,1,0
10,9.80753,0.00608127,9.80753,-0.00608127,0.0595639,0.00563038,1,0
11,10.7421,0.0137141,10.7421,-0.0137141,0.0712985,0.00963524,1,0
12,11.6646,0.0257682,11.6646,-0.0257682,0.0836561,0.0144729,1,0
13,12.5745,0.0430129,12.5745,-0.0430129,0.0965509,0.0200164,1,0
14,13.4713,0.0660976,13.4713,-0.0660976,0.109904,0.026153,1,0
15,14.3545,0.0955649,14.3545,-0.0955649,0.123642,0.0327817,1,0
16,15.2238,0.131861,15.2238,-0.131861,0.1377,0.0398116,1,0
17,16.079,0.175348,16.079,-0.175348,0.152016,0.0471618,1,0
18,16.9197,0.226309,16.9197,-0.226309,0.166535,0.0547605,1,0
19,17.7458,0.284962,17.7458,-0.284962,0.181205,0.0625438,1,0
20,18.5573,0.351461,18.5573,-0.351461,0.195981,0.0704551,1,0
21,19.3539,0.425911,19.3539,-0.425911,0.21082,0.0784444,1,0
22,20.1356,0.508367,20.1356,-0.508367,0.225684,0.0864677,1,0
23,20.9025,0.598844,20.9025,-0.598844,0.240539,0.0944863,1,0
24,21.6545,0.69732,21.6545,-0.69732,0.255353,0.102466,1,0
25,22.3918,0.803742,22.3918,-0.803742,0.270098,0.110378,1,0
26,23.1144,0.91803,23.1144,-0.91803,0.284749,0.118197,1,0
27,23.8224,1.04008,23.8224,-1.04008,0.299282,0.1259,1,0
28,24.5159,1.16976,24.5159,-1.16976,0.313678,0.133468,1,0
29,25.1951,1.30694,25.1951,-1.30694,0.327919,0.140886,1,0
30,25.8601,1.45145,25.8601,-1.45145,0.341987,0.14814,1,0
31,26.5112,1.60313,26.5112,-1.60313,0.35587,0.155219,1,0
32,27.1485,1.7618,27.1485,-1.7618,0.369555,0.162113,1,0
33,27.7722,1.92726,27.7722,-1.92726,0.383031,0.168816,1,0
34,28.3826,2.09933,28.3826,-2.09933,0.396288,0.17532,1,0
35,28.9797,2.2778,28.9797,-2.2778,0.40932,0.181623,1,0
36,29.564,2.46247,29.564,-2.46247,0.422119,0.187721,1,0
37,30.1356,2.65314,30.1356,-2.65314,0.43468,0.193612,1,0
38,30.6948,2.84959,30.6948,-2.84959,0.446999,0.199295,1,0
39,31.2418,3.05163,31.2418,-3.05163,0.459072,0.20477,1,0
40,31.7768,3.25903,31.7768,-3.25903,0.470896,0.210037,1,0
41,32.3001,3.4716,32.3001,-3.4716,0.482471,0.215098,1,0
42,32.812,3.68912,32.812,-3.68912,0.493793,0.219956,1,0
43,33.3126,3.91141,33.3126,-3.91141,0.504865,0.224611,1,0
44,33.8024,4.13825,33.8024,-4.13825,0.515684,0.229068,1,0
45,34.2814,4.36945,34.2814,-4.36945,0.526254,0.233329,1,0
46,34.75,4.60481,34.75,-4.60481,0.536573,0.237398,1,0
47,35.2084,4.84415,35.2084,-4.84415,0.546646,0.241279,1,0
48,35.6568,5.08728,35.6568,-5.08728,0.556472,0.244976,1,0
