"time","y_11.y","y_22.y","u_11.y","u_22.y","IAE_1.y","IAE_2.y","IE_1.y","IE_2.y"
0,0,0,0.646914,0.333758,0,0,0,0
1,0,0,0.731012,0.333758,1,0,1,0
2,0.51288,0,0.46203,0.333758,1.74682,0,1.74682,0
3,0.930153,0,0.21551,0.333758,2.0253,1.72619e-11,2.0253,1.72619e-11
4,0.836043,-0.434389,0.286223,0.281344,2.1422,0.217194,2.1422,0.217194
5,0.677108,-0.839635,0.409512,0.252827,2.38563,0.854206,2.38563,0.854206
6,0.596183,-1.21769,0.435914,0.0417769,2.74898,1.88287,2.74898,1.88287
7,0.595225,-1.53675,0.406163,-0.150484,3.15328,3.26009,3.15328,3.26009
8,0.626114,-1.38289,0.347213,-0.125456,3.54261,4.71991,3.54261,4.71991
9,0.726068,-1.14195,0.235613,-0.0618657,3.86652,5.98233,3.86652,5.98233
10,0.933363,-0.811814,0.0946106,-0.0057167,4.0368,6.95921,4.0368,6.95921
11,1.10974,-0.449986,-0.0270687,0.0348009,4.08353,7.59011,4.01525,7.59011
12,1.14117,-0.115587,-0.0456502,0.0676093,4.20899,7.8729,3.88979,7.8729
13,1.06727,0.159397,0.0186743,0.0744918,4.31321,7.94339,3.78557,7.85099
14,0.972902,0.349157,0.109461,0.0359645,4.34108,8.19766,3.76548,7.59671
15,0.90978,0.449953,0.187898,-0.00493094,4.39974,8.59722,3.82414,7.19716
16,0.895879,0.466862,0.234024,-0.00866482,4.49691,9.05563,3.92131,6.73875
17,0.942928,0.429748,0.232846,0.0171506,4.57751,9.50393,4.00191,6.29045
18,1.03879,0.371309,0.185873,0.0489307,4.60234,9.90446,4.01105,5.88992
19,1.13093,0.306873,0.12683,0.0707165,4.6872,10.2435,3.92618,5.55083
20,1.16885,0.248069,0.0936245,0.0766614,4.83709,10.521,3.77629,5.27336
21,1.14508,0.202865,0.0973833,0.0623528,4.99406,10.7465,3.61933,5.04789
22,1.0881,0.176114,0.125022,0.0311202,5.11065,10.936,3.50274,4.8584
23,1.0337,0.169411,0.155872,0.000390957,5.17154,11.1087,3.44184,4.68564
24,1.00766,0.181149,0.172942,-0.0119847,5.19222,11.284,3.42117,4.51036
25,1.02087,0.207086,0.167051,-0.00204262,5.20648,11.4781,3.40691,4.31624
26,1.06481,0.240387,0.141097,0.021493,5.24932,11.7019,3.36407,4.0925
27,1.11361,0.272773,0.110254,0.0462523,5.33853,11.9585,3.27486,3.83592
28,1.13997,0.296523,0.0924326,0.0622389,5.46532,12.2431,3.14807,3.55128
29,1.13234,0.306673,0.0965772,0.0641035,5.60147,12.5447,3.01192,3.24968
30,1.09903,0.302204,0.118805,0.0533245,5.71716,12.8491,2.89623,2.94524
