"time","r_11.y","r_22.y","y_11.y","y_22.y","IAE_1.y","IAE_2.y","IE_1.y","IE_2.y"
0,1,0,0,0,0,0,0,0
1,1,0,0,0,1,0,1,0
2,1,0,0.184244,0,1.90845,0,1.90845,0
3,1,0,0.401288,0,2.61568,2.15046e-10,2.61568,2.15046e-10
4,1,0,0.55074,-0.106927,3.13967,0.0534634,3.13967,0.0534634
5,1,0,0.675196,-0.231909,3.5267,0.222881,3.5267,0.222881
6,1,0,0.775896,-0.358471,3.80116,0.518071,3.80116,0.518071
7,1,0,0.856732,-0.473879,3.98484,0.934246,3.98484,0.934246
8,1,0,0.922733,-0.424986,4.09511,1.38368,4.09511,1.38368
9,1,0,0.985444,-0.330668,4.14102,1.76151,4.14102,1.76151
10,1,0,1.05662,-0.212592,4.16503,2.03314,4.11999,2.03314
11,1,0,1.13021,-0.0939565,4.25844,2.18641,4.02658,2.18641
12,1,0,1.19515,0.00483345,4.42112,2.23121,3.8639,2.23097
13,1,0,1.24605,0.0778073,4.64172,2.27253,3.6433,2.18965
14,1,0,1.27993,0.124696,4.90471,2.37378,3.38031,2.0884
15,1,0,1.29633,0.155723,5.19283,2.51399,3.09218,1.94819
16,1,0,1.29706,0.183083,5.48953,2.68339,2.79549,1.77879
17,1,0,1.28582,0.210659,5.78096,2.88026,2.50405,1.58192
18,1,0,1.26673,0.238465,6.05724,3.10483,2.22778,1.35735
19,1,0,1.24278,0.263672,6.31199,3.35589,1.97303,1.10629
20,1,0,1.21564,0.282419,6.5412,3.62894,1.74382,0.83324
21,1,0,1.18622,0.291508,6.74213,3.9159,1.54289,0.546276
22,1,0,1.15502,0.289463,6.91275,4.20639,1.37227,0.255791
23,1,0,1.12251,0.277034,7.05151,4.48964,1.2335,-0.0274581
24,1,0,1.0894,0.25649,7.15747,4.7564,1.12755,-0.29422
25,1,0,1.05665,0.230537,7.23049,4.99991,1.05453,-0.537733
26,1,0,1.0254,0.201606,7.27151,5.21598,1.01351,-0.753805
27,1,0,0.996739,0.171465,7.28295,5.40252,1.00244,-0.94034
28,1,0,0.971514,0.141171,7.29883,5.55884,1.01831,-1.09666
29,1,0,0.950257,0.111257,7.33794,5.68505,1.05742,-1.22287
30,1,0,0.933189,0.0820225,7.39622,5.78169,1.1157,-1.31951
31,1,0,0.920275,0.0537892,7.46948,5.8496,1.18897,-1.38742
32,1,0,0.911316,0.0270133,7.55369,5.89,1.27317,-1.42782
33,1,0,0.906022,0.00226522,7.64502,5.90464,1.3645,-1.44246
